2025-09-24 at 21:01:13 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 21:01:13 | INFO | Запись не найдена по фильтрам{'telegram_id': 433841377}
2025-09-24 at 21:01:13 | INFO | Запись User успешно добавлена.
2025-09-24 at 21:01:13 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 21:01:13 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-09-24 at 21:01:15 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 21:01:15 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-09-24 at 21:01:16 | INFO | Запись VPN успешно добавлена.
2025-09-24 at 21:01:19 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 21:01:19 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-09-24 at 21:08:37 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 21:08:37 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-09-24 at 21:08:42 | INFO | Бот остановлен!
2025-09-24 at 21:08:48 | INFO | Бот успешно запущен
2025-09-24 at 21:08:48 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 21:08:48 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-09-24 at 21:10:32 | INFO | Бот остановлен!
2025-09-24 at 21:10:38 | INFO | Бот успешно запущен
2025-09-24 at 21:10:40 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 21:10:40 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-09-24 at 21:10:54 | INFO | Бот остановлен!
2025-09-24 at 21:23:35 | INFO | Бот успешно запущен
2025-09-24 at 21:23:37 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 21:23:37 | INFO | Запись не найдена по фильтрам{'telegram_id': 433841377}
2025-09-24 at 21:23:37 | INFO | Запись User успешно добавлена.
2025-09-24 at 21:23:37 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 21:23:37 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-09-24 at 21:23:39 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 21:23:39 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-09-24 at 21:24:05 | INFO | Бот остановлен!
2025-09-24 at 21:24:26 | INFO | Бот успешно запущен
2025-09-24 at 21:24:30 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 21:24:30 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-09-24 at 21:24:32 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 21:24:32 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-09-24 at 21:24:33 | ERROR | Ошибка для добавления записи: (sqlite3.IntegrityError) NOT NULL constraint failed: vpns.price
[SQL: INSERT INTO vpns (client_uuid, email, enable, inbound_id, flow, expiry_time, access_url, price, category_id) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?) RETURNING id, created_at, updated_at]
